golang/go,14,8,22,24,35,9,7,9,18,23,23,33,13,9,16,21,16,26,24,12,8,10,21,30,19,16,7,5,12,15,42,18,15,7,2,13,16,13,10,14,8,12,18,19,21,23,26,4,14,20,14,16,8,15,12,8,15,28,27,39,39,6,15,32,29,36,18,31,12,12,26,39,26,38,18,11,8,22,25,25,29,15,5,3,25,22,31,28,32,12,6,25,20,30,17,28,19,18,24,20,21,35,19,10,3,15,29,23,31,17,13,15,14,21,27,21,19,12,15,18,19,21,22,16,7,7,26,24,29,25,24,8,5,26,28,26,19,33,9,15,7,22,16,25,24,10,10,11,24,19,29,33,4,14,24,17,19,13,18,11,10,30,20,28,23,20,5,7,19,13,25,16,17,4,3,16,22,18,21,30,10,3,20,27,20,16,11,7,2,28,21,29,21,25,7,9,17,15,21,14,23,6,5,25,14,20,15,26,12,10,21,17,20,28,22,7,10,24,21,27,23,18,5,8,20,27,19,18,19,7,5,16,22,26,19,16,10,11,21,39,28,40,32,6,11,17,26,39,38,28,12,8,19,25,25,28,15,10,8,24,25,23,34,20,12,9,21,27,34,19,20,8,10,26,22,21,14,21,4,15,28,19,20,29,23,11,18,23,20,14,32,23,16,9,39,28,37,18,24,23,8,22,17,18,39,15,4,14,25,25,22,33,32,10,10,24,28,27,24,28,12,12,26,21,18,44,25,11,8,24,26,23,11,12,7,6,17,10,27,30,23,11,4,18,13,17,25,18,7,10,17,19,17,17,12,8,7,6,17,5,5,7,8,9,15
kubernetes/kubernetes,14,7,35,45,48,17,5,46,39,55,38,44,24,8,28,45,53,55,43,13,7,34,38,49,56,37,30,19,60,58,56,59,38,16,16,42,42,32,34,31,17,11,49,37,61,57,55,17,10,45,50,47,57,62,26,10,74,80,56,70,77,21,9,63,77,70,72,81,10,8,27,34,39,42,30,7,6,24,34,40,37,52,16,11,59,45,48,52,58,12,7,66,68,49,62,48,8,16,57,52,53,66,51,29,15,61,51,59,57,52,20,7,36,53,61,72,49,21,18,51,47,37,49,51,25,21,52,43,55,83,61,18,9,50,46,70,40,60,23,10,50,55,28,44,53,26,20,39,49,48,47,59,16,15,30,41,40,28,24,13,17,43,45,30,49,54,18,9,34,32,43,54,41,17,12,39,41,53,49,51,17,12,50,47,78,60,32,10,14,37,41,55,66,46,15,16,40,43,40,59,49,10,10,42,53,46,64,53,14,16,39,42,57,48,53,22,11,32,53,54,101,46,9,11,50,69,44,54,49,21,17,50,63,65,59,61,21,17,59,75,59,46,47,10,12,27,50,51,41,53,13,12,39,46,47,77,32,12,9,33,42,39,59,49,19,23,36,60,43,75,52,10,18,46,45,43,60,32,13,21,44,48,53,56,61,32,24,53,57,43,45,28,23,14,34,41,55,55,72,17,17,63,53,35,46,45,11,17,58,73,57,66,71,26,27,42,45,86,69,55,17,12,33,33,24,27,44,16,8,35,39,47,33,20,9,9,50,44,50,56,41,10,16,51,43,44,44,39,8,8,46,40,27,57,45,12,16,39,28,25,28,31,15,15,28
rust-lang/rust,17,9,41,25,28,14,30,39,27,21,22,30,24,24,29,35,34,34,31,18,22,32,25,21,17,22,21,9,24,18,34,22,27,22,46,40,32,46,27,39,20,29,20,26,32,29,32,20,27,15,15,29,17,35,24,27,30,19,30,32,38,21,23,19,31,22,29,24,24,23,41,29,22,27,25,23,19,21,17,27,23,21,13,17,21,27,18,38,32,34,18,30,29,31,29,30,20,24,20,27,29,33,34,22,28,23,22,34,39,28,18,14,27,31,31,45,29,20,18,25,41,34,32,33,23,20,23,27,31,35,32,30,22,36,33,26,28,32,19,20,22,31,35,45,36,57,21,29,47,36,48,33,30,24,35,24,37,38,41,29,28,21,27,34,28,38,24,24,15,26,32,30,30,28,19,15,30,29,33,26,21,18,23,36,36,37,34,28,28,26,40,25,31,35,24,15,22,32,30,19,24,24,21,24,36,44,30,33,26,36,26,31,27,29,23,21,22,37,31,21,35,28,28,23,30,32,40,43,25,26,19,30,36,32,27,14,34,33,23,35,21,24,18,20,32,25,31,23,39,46,28,25,28,40,22,25,27,30,21,35,32,30,28,22,26,21,26,30,38,34,34,27,21,30,41,56,43,42,28,29,19,32,28,38,28,28,43,27,35,28,50,46,33,31,35,33,32,38,53,22,24,32,35,37,22,25,15,21,27,40,36,26,31,26,21,38,34,39,37,32,22,19,33,27,30,24,36,29,43,37,32,35,27,27,31,28,33,28,35,32,36,25,35,19,25,32,25,21,15,35,24,18,29,29,29,32,43,27,25,25,26,22,20,21,28
ansible/ansible,12,8,51,45,43,10,8,37,41,60,56,42,10,10,56,52,45,44,43,15,11,39,43,57,55,42,12,10,32,54,56,65,50,25,21,38,63,69,68,72,17,6,41,82,74,91,80,32,19,106,69,82,79,101,17,15,57,78,54,62,37,24,22,66,64,57,66,78,25,18,56,44,63,45,68,20,19,75,67,67,66,68,25,10,60,66,58,74,57,19,18,37,49,73,64,49,15,15,51,49,52,75,47,12,16,82,68,56,62,27,9,6,54,45,63,43,52,12,10,28,71,39,33,34,15,13,47,46,47,38,37,8,8,38,47,71,57,52,6,9,60,76,60,73,52,20,18,43,75,44,56,51,19,11,46,49,57,76,45,20,14,66,57,63,35,60,25,22,49,55,74,42,74,23,16,48,54,81,38,56,13,19,42,41,37,48,46,9,10,38,50,55,55,48,16,16,37,38,42,61,56,14,17,49,70,83,49,54,16,17,55,76,60,68,72,12,10,63,59,76,45,54,24,17,56,101,67,41,56,23,10,163,73,96,121,49,17,29,56,63,87,78,60,10,19,26,46,81,87,47,8,12,53,79,50,70,79,10,14,39,95,92,70,50,33,12,43,44,37,44,31,9,13,38,47,41,42,30,21,17,33,42,50,52,49,14,14,47,51,60,53,48,11,18,40,56,54,56,28,8,28,45,35,49,43,59,18,15,53,48,68,41,48,15,17,29,32,56,62,46,18,34,53,61,47,23,52,14,15,29,29,40,19,25,7,10,39,43,41,56,38,6,17,33,35,37,32,43,16,18,37,37,29,27,19,14,5,18,17,8,12,19,6,11,21
microsoft/TypeScript,11,6,13,13,16,7,5,19,13,24,19,30,3,8,20,15,14,23,16,10,8,17,13,17,23,22,11,6,15,12,13,17,23,12,9,24,23,29,29,18,7,6,18,18,21,18,16,5,6,12,20,26,22,22,6,9,17,21,26,23,17,17,10,11,17,12,17,18,16,10,17,26,35,31,21,8,6,20,24,14,20,17,5,13,17,15,15,18,15,16,9,21,25,17,21,24,14,3,16,15,16,19,33,14,5,19,38,23,22,13,8,4,14,13,24,17,10,10,10,16,14,23,17,24,8,10,11,26,18,11,18,5,10,20,19,15,18,18,7,8,20,35,21,28,19,8,8,5,24,25,19,26,8,10,19,16,19,23,13,11,8,9,15,18,14,17,13,5,18,26,15,29,15,9,10,19,21,24,32,22,7,4,19,19,18,13,17,5,7,18,14,19,27,18,5,10,15,21,26,15,15,7,6,14,12,13,22,19,5,8,20,12,16,26,17,9,8,18,24,8,14,27,4,5,23,47,24,18,22,11,10,18,11,23,16,29,4,3,21,14,18,27,16,8,7,15,27,25,20,20,9,7,22,30,23,19,22,11,2,17,22,23,15,19,2,2,27,17,17,25,21,8,7,27,34,41,27,24,6,6,29,23,29,24,14,6,17,15,26,23,22,35,15,4,24,29,30,36,19,9,4,32,24,26,18,13,14,8,15,24,29,27,24,7,7,21,20,23,24,17,13,15,14,39,39,27,24,12,7,21,36,22,19,6,9,4,16,25,26,22,29,8,7,22,21,21,17,20,9,10,24,21,27,24,20,12,7,6,8,8,9,21,9,11,14
elastic/elasticsearch,25,1,31,38,29,5,7,36,38,37,51,47,10,8,48,64,46,40,28,9,7,34,58,58,48,55,6,5,41,53,64,78,97,28,24,92,95,71,42,64,15,7,79,69,49,59,61,10,10,63,80,51,64,55,5,0,47,43,58,56,55,13,6,56,56,46,41,55,10,11,51,39,38,59,44,10,7,47,48,52,51,50,9,1,33,63,75,54,44,4,0,42,45,69,52,40,7,6,58,55,53,35,42,3,3,51,50,40,45,27,5,2,24,39,48,47,59,2,8,31,48,22,46,38,6,5,48,51,63,61,52,4,7,23,16,16,25,16,1,2,49,74,80,70,66,7,5,40,54,29,50,43,6,3,38,56,31,59,37,5,5,56,60,42,43,35,5,3,43,47,50,58,51,2,3,34,57,58,53,60,11,5,52,47,56,45,40,4,6,45,54,47,56,54,10,5,69,68,56,72,42,10,16,56,51,61,49,38,2,3,55,36,45,54,39,13,5,40,43,47,51,51,12,3,45,52,65,48,46,3,2,23,50,60,63,52,4,9,54,44,55,58,35,11,4,33,54,58,63,47,3,3,42,58,67,50,28,2,9,34,33,49,48,57,4,2,32,69,89,39,67,13,3,59,88,63,64,72,8,5,83,47,77,51,66,14,3,56,68,71,52,44,2,4,54,43,67,63,50,6,5,53,53,61,55,47,9,4,13,20,13,22,7,5,6,43,39,54,62,85,7,3,57,69,66,60,37,5,3,54,39,52,34,37,1,4,46,27,32,48,64,10,6,28,56,51,48,42,5,6,46,39,51,64,43,1,0,22,13,4,7,15,0,2,15
godotengine/godot,16,15,23,26,22,23,13,17,23,24,20,31,27,15,23,19,34,28,39,33,26,26,38,32,27,29,30,35,48,33,21,30,32,11,22,24,31,26,15,31,31,33,19,34,23,28,32,38,30,47,35,31,36,32,40,42,35,40,54,41,38,48,43,61,59,58,46,27,54,29,53,49,39,43,34,38,43,29,35,31,20,35,26,25,31,28,27,27,20,26,20,15,34,44,25,28,31,40,39,50,36,34,19,33,31,40,33,43,30,38,39,33,29,50,41,26,22,25,22,20,26,38,39,32,25,26,15,18,29,18,25,13,14,13,31,33,23,24,21,23,36,40,22,25,22,18,27,34,23,35,34,28,32,20,38,42,26,42,29,28,22,18,39,35,33,22,29,19,22,25,30,26,29,25,21,35,26,31,31,33,23,18,21,35,33,26,26,32,29,25,33,27,23,22,21,15,18,33,27,20,13,20,22,22,20,17,28,24,27,20,43,39,22,20,18,20,20,37,41,21,32,37,24,26,34,25,15,23,22,23,21,24,25,31,37,25,26,31,19,37,22,35,32,29,33,38,27,35,21,21,15,9,20,17,13,15,17,14,17,12,12,12,15,17,18,18,29,32,32,23,23,21,10,20,23,33,26,23,18,34,23,32,29,40,26,29,23,30,13,26,15,18,13,25,19,25,25,30,26,20,26,23,21,25,30,27,26,48,28,25,31,25,32,37,29,20,33,27,20,19,16,22,31,30,25,30,24,20,15,36,26,32,21,28,26,20,14,25,11,24,33,26,22,23,20,33,30,26,14,17,16,24,33,24,28,30,21,21,23,12,17,17,20,28,16
saltstack/salt,7,3,14,15,16,3,0,24,13,28,10,9,7,2,14,8,25,28,12,5,2,15,17,14,23,24,5,6,13,26,43,15,15,6,3,13,13,26,19,12,4,1,13,28,21,19,25,3,6,11,19,20,15,20,12,4,22,41,40,26,18,9,1,15,25,23,34,71,4,2,22,10,13,27,14,3,5,13,20,16,11,18,1,1,13,17,12,6,13,4,1,11,18,11,12,6,4,5,14,20,24,22,22,2,1,16,11,26,27,21,10,3,4,13,17,16,17,6,7,18,18,16,40,11,2,1,10,84,13,10,15,4,3,26,27,11,36,34,3,3,21,21,33,34,9,5,0,18,29,20,13,10,4,3,16,19,15,10,13,2,3,18,21,10,10,18,5,2,7,13,18,17,9,2,1,22,9,17,15,31,2,1,12,10,20,13,13,6,3,8,38,14,22,19,3,0,13,18,19,16,22,2,1,17,30,20,13,23,1,2,15,10,12,12,13,2,1,14,9,10,11,20,3,3,11,14,7,11,18,3,3,12,6,14,8,15,2,2,10,11,11,18,14,1,4,7,16,11,15,10,0,2,9,4,14,4,14,4,13,6,12,55,125,19,3,1,5,8,22,32,11,2,8,22,13,20,15,19,6,5,12,11,11,11,22,5,14,16,5,18,19,9,3,4,13,15,14,9,12,6,1,8,15,8,11,5,2,1,10,17,6,13,13,0,2,13,14,23,15,21,4,2,13,17,9,26,4,9,3,15,8,9,5,21,0,4,10,12,8,26,13,4,4,13,24,18,12,16,6,1,14,22,7,11,13,4,4,5,3,1,2,9,7,4,9
angular/angular,5,5,17,21,18,6,7,19,30,30,28,32,15,11,24,25,27,24,29,10,9,12,27,21,29,28,8,5,15,27,23,19,15,9,2,26,20,30,24,22,6,3,16,13,50,27,26,8,11,21,37,29,37,27,8,9,14,25,23,28,21,13,8,21,16,20,32,19,12,5,25,34,21,29,29,6,8,26,19,28,18,33,7,7,13,16,29,21,22,11,9,20,30,17,24,20,8,10,14,25,24,29,25,9,6,23,23,24,16,22,5,14,19,35,26,34,28,15,7,20,15,11,18,12,6,11,16,26,26,26,38,13,4,16,26,27,30,21,3,5,20,23,26,20,23,4,5,13,18,31,16,35,6,8,22,23,22,18,20,8,8,24,22,33,18,27,9,8,17,19,29,27,31,9,6,21,25,29,19,25,7,4,19,14,21,9,12,5,4,14,21,20,22,13,14,10,17,23,13,24,20,9,12,15,25,19,14,18,3,8,18,21,16,11,22,18,5,16,14,22,10,25,9,2,17,12,16,14,13,5,6,18,28,23,27,13,16,3,15,31,22,24,20,4,7,12,15,18,20,18,20,8,17,30,30,23,24,5,6,17,24,28,20,12,6,6,14,19,18,10,18,7,7,21,22,30,15,20,6,3,11,11,31,15,27,10,8,23,32,18,35,15,12,6,28,29,28,22,26,11,10,18,19,19,25,16,10,9,26,21,30,34,31,9,7,27,29,30,27,28,14,8,24,12,21,32,20,17,7,17,26,45,26,20,6,5,29,20,20,20,28,14,3,13,19,24,23,19,11,1,26,14,23,23,19,8,7,13,3,5,9,9,7,6,6
moby/moby,11,3,6,13,7,5,2,5,6,10,9,7,8,7,15,9,7,5,3,4,0,10,11,10,4,7,2,2,3,1,6,11,8,0,2,2,5,3,6,5,5,3,5,10,5,13,3,3,0,7,8,4,10,10,4,5,2,7,3,7,4,5,2,4,1,6,4,6,2,2,1,9,17,6,3,2,2,10,11,6,9,2,4,0,2,13,14,6,13,1,1,4,7,7,6,5,8,3,14,10,12,6,4,4,3,9,9,14,5,7,2,0,6,5,7,5,7,4,1,3,7,4,1,1,1,2,4,9,8,3,4,3,1,5,7,7,3,6,2,3,4,9,10,5,4,1,1,1,4,5,10,4,2,2,12,9,7,7,5,3,0,6,5,7,1,2,3,0,3,4,4,6,13,2,2,4,12,7,3,10,2,2,8,7,6,2,0,1,1,5,7,12,10,13,5,4,10,10,13,8,15,8,1,6,6,6,6,6,1,3,7,7,10,5,7,4,3,10,8,12,9,10,4,7,6,7,11,5,8,2,4,6,3,5,4,4,3,3,4,8,9,14,5,2,1,15,10,5,4,3,5,0,9,9,14,10,10,2,0,5,6,12,8,4,1,1,4,9,5,5,10,1,2,16,3,5,6,6,1,5,8,4,4,5,5,3,8,4,5,2,3,6,0,2,12,3,4,9,2,3,1,5,5,5,5,5,1,0,0,13,6,7,2,0,0,3,3,5,6,6,1,3,2,1,2,3,2,2,2,10,9,5,3,6,0,1,3,3,4,4,4,1,1,6,3,2,1,2,1,0,4,1,3,3,1,0,2,3,1,0,1,1,0,0,1
